gene_name,unstranded
SPRTN,836
EEF1AKNMT,3613
DYRK4,1513
ZNF207,6795
UQCRC1,6110
STARD3NL,3865
CD9,10806
HHATL,146
NCAPD2,4369
IFFO1,5270
GIPR,38
PHF7,252
SEMA3G,192
NISCH,9275
STAB1,60728
FUZ,725
SLC6A13,55
IDS,790
PRSS3,10
ZNF200,762
CD4,20285
LRRC23,851
BTK,2284
HFE,720
SCMH1,1510
FYN,18136
HIVEP2,1837
FMO1,7
ELOA,3306
LYPLA2,2539
CLCN6,7450
MRC2,7353
NME1-NME2,0
SLC6A7,34
TSPAN9,1560
BTBD7,2257
APBA3,704
MKS1,1125
ABHD5,3741
ANOS1,7072
AKAP8L,1754
MBTD1,1521
UTP18,2736
RNF216,5850
TTC19,3728
PTBP1,9722
DPF1,158
SYT7,207
LARS2,2686
PIK3C2A,3653
PLAUR,1311
ANLN,913
WIZ,4179
RABGAP1,7069
DCN,2842
QPCTL,521
PPP5C,1845
CEP68,1905
MAP4K3,1989
ZBTB32,19
TYROBP,14434
TMEM159,390
GABRA3,1407
BRCA1,804
ERCC1,2688
CD22,278
SEMA3B,966
MBTPS2,2246
PRICKLE3,137
LTF,5345
EXTL3,7623
NR1H4,5
ELOVL5,11319
ALOX5,4672
KDM5D,0
CALCOCO1,6312
UBR7,2035
MAP4K5,5000
EHD3,5830
PSMC4,4436
MAN2B2,5409
SLC7A14,214
CLDN11,726
SLC25A39,5167
MVP,15460
NUB1,5395
PGM3,3918
RWDD2A,917
CLK1,5500
POLR3B,648
ANGEL1,2208
RNF14,4586
DNASE1L1,577
DDX11,571
HEBP1,1191
GPRC5A,337
MAMLD1,954
CD6,378
TACC3,1013
UFL1,4032
POLA2,187
ZC3H3,1189
CAPN1,8950
ACP3,290
MDH1,16333
SLC30A9,5249
MTMR11,2851
COX15,2627
CCDC88C,431
YAF2,1133
ZMYND11,6124
WAS,3143
DPEP1,465
BID,2296
MATR3,215
NPC1L1,12
XYLT2,2110
RGPD5,0
STMN4,686
NUDCD3,8113
ISL1,0
CHDH,2664
IL20RA,2
CLCA1,6
CLCA4,17
GLT8D1,4346
ATP2C1,13219
IGF1,247
SLC38A5,3846
RALBP1,8393
RUFY3,9397
CNTN1,4231
SLC11A1,10781
WWTR1,3359
AGPS,3540
ZNF806,2
CXorf56,1486
ATP1A2,2851
TTC27,1011
ZNF582,178
VSIG2,28
PHLDB1,3541
MARCO,26
CYP24A1,142
PRDM11,1133
SYT13,274
SNAI2,142
CD74,345319
HGF,4638
ZRANB1,666
NCDN,11306
ADGRA2,957
CCT8L1P,1
ZFP64,1169
MNAT1,539
SAMD4A,6641
RUNX3,594
MRE11,1457
PLEKHB1,11149
SERPINB1,3164
CYP3A43,10
SLC7A9,17
SPAST,2133
NRXN3,2541
OSBPL5,1386
AQR,2395
CPS1,413
C8B,0
FHL1,22754
RTF2,8189
GABRA1,71
NLRP2,287
SLC45A4,1309
RNF10,10908
ZNF839,319
ZDHHC6,2705
GRAMD1B,4600
RNH1,7072
NDUFS1,5709
RB1CC1,4878
ERP44,4505
ALAS1,3415
BIRC3,220
AKAP11,5392
GLRX2,1275
SNAPC1,441
DERA,2059
STRAP,6516
ABCC2,59
DEF6,2425
PLEKHO1,7283
GCLM,2106
UBR2,5096
EHD2,5266
DEPDC1,53
CCDC28A,1249
RRAGD,4365
HSF2,929
PHF20,6669
HSD17B6,293
NR1H3,1026
TYMP,4213
NCAPH2,2133
TOMM34,2623
SEC63,9507
KPNA6,6052
VIM,120742
RTEL1-TNFRSF6B,106
FAS,803
RNASET2,5210
CD44,58819
KCNG1,126
AGPAT4,3000
SLAMF7,299
BTN3A1,20254
MIPEP,660
PRKCH,1102
INSRR,85
IFNGR1,11277
B4GALT7,2175
SH2D2A,78
VRK2,348
TNFRSF1B,10552
VEZT,2940
POU2F2,3826
BRD9,1820
SNX1,13019
TBPL1,740
ARNTL2,440
BCLAF1,7792
SLC39A9,3862
ANK1,363
IBSP,14574
TFB1M,469
RABEP1,5271
HMGB3,755
NUP160,3668
BAK1,1302
MUSK,6
IKZF2,1280
GRN,28532
FAM13B,3401
ARHGAP31,7089
CENPQ,839
SARS1,10532
RANBP3,5357
ARID4A,2916
EIPR1,1756
PNPLA6,7896
IFT88,670
ALG1,1020
ZCCHC8,2345
ABCF2,1189
CHPF2,5729
LRRC7,144
FUT8,1231
UBA6,4020
GAB2,7008
ATP6V0A1,8708
PIAS1,2624
SLC4A7,5128
APBA2,5204
MAP2K3,1765
EFCAB1,13
TMSB10,30489
ASTE1,592
RNF19A,11602
PEX3,755
GABARAPL2,7745
MYOC,0
SH3YL1,1682
FAM136A,1423
VCL,14686
DEPDC1B,37
DAPK2,88
NSMAF,3211
ADSS2,1518
STAP1,17
TIMP2,109460
RFC1,5806
TBC1D23,3408
CUL3,3247
MYOM2,450
OTC,12
CYP46A1,575
ZZZ3,2900
SLC18A1,5
USP2,526
CASR,6
TUBG2,1652
RPL26L1,1083
FLT4,889
NSUN2,3678
FBXO42,2643
MFAP3,1967
MRI1,347
METTL1,1153
HOXC8,0
AGA,3050
PI4K2B,1650
BOD1L1,5800
MAT2B,4320
TLL1,6
EDC4,2724
TRIO,11062
VCAN,23294
CLEC16A,3031
MSR1,12373
CDH1,177
MTREX,3352
DNAH5,480
ZFYVE16,4020
RIPOR1,3873
C6,53
RAI14,976
SOX30,11
PNKP,862
BEST2,0
PHLPP2,1933
SPDL1,579
STAU2,2478
SLC66A1,1336
CTNS,2176
RTN4R,34
PHF23,3478
CDH10,1459
INPP4A,4310
RAB27B,196
PSMA4,6752
MYO16,1284
LSG1,2453
PARP3,2026
TNC,121865
THAP3,883
RIPOR3,54
TDP1,600
AIFM2,131
C2orf83,7
SPATA7,777
MED17,249
RETSAT,7350
CAPG,7763
AP2S1,2925
USH2A,8
ZPBP,0
TG,80
ADAM28,4331
BARX2,12
DCUN1D1,2199
JADE2,5210
ZIC2,269
LCP2,4362
TRIT1,1089
ADRB1,54
GUCA2B,1
CUL7,921
CTNNA1,31954
PHKA2,1121
CNTLN,762
EPHA3,544
HSPA5,77207
DSG2,340
GEMIN8,828
OFD1,1583
GPM6B,33629
MAGEC2,0
PREX2,1447
WDR37,3351
YTHDC2,3214
CTPS2,1167
ATP6V1H,3783
POLR2B,5897
FAM214A,1367
ARAP2,2255
TPR,9220
CP,8346
KATNIP,2477
DTNBP1,1561
XK,50
ANO2,36
C12orf4,2385
SCML1,953
WWC3,2299
ARHGAP6,726
FAM184B,41
MAP4,53101
GOPC,2274
ROS1,3
USP28,1350
HDAC9,2105
TSPAN17,2218
NOP16,534
CC2D2A,1736
RRM2B,4194
ZNF800,1122
TNFRSF17,2
SNX29,4373
LMO3,1514
MRPS10,3173
GUCA1A,1
RSF1,4447
VPS13D,10862
CELF2,10723
FAM120A,11022
R3HDM1,2547
COL9A2,841
KITLG,689
ERCC8,814
ADAMTS6,460
H6PD,10615
VAMP3,9641
PER3,817
UTS2,5
TNFRSF9,53
EPN3,15
LTBP1,1219
RCN1,1884
ELN,14732
RFC2,1519
ARID1B,5178
CLPTM1L,5249
NEDD4L,3310
FOXP3,135
PPP1R3F,906
HEXB,7406
PTCD2,1002
NEXMIF,82
JKAMP,4714
DKK3,21879
ARHGEF5,36
NFE2L3,418
MCUR1,2697
LIMA1,6563
LETMD1,2298
SLC4A8,1988
LAMC3,875
PTGER3,99
TNIP3,18
MAPK9,4000
COL23A1,447
BCAR1,6178
FAM160A2,1491
HERPUD1,13039
HOMER3,1238
RAD51,58
POLQ,74
PIK3CB,2517
CYBA,8929
THOC3,203
HEBP2,817
MPHOSPH9,1943
PLEKHA5,5022
PRSS8,8
SIKE1,2646
RRP12,2096
FNIP2,16010
MSMO1,5811
TTC17,4287
ALX4,55
FSTL4,356
FOXN3,4523
METTL24,7
AKR7A2,2693
MRTO4,1742
NNAT,306
USE1,882
MCF2L2,415
NRIP2,116
LAMA3,643
AP5M1,2875
ANAPC4,2031
KCNQ1,2559
TRAPPC3,5265
THRAP3,10850
PHPT1,2624
ENTPD2,29
LY75,580
ARID4B,3752
OPN3,106
SDCCAG8,2215
PTPRN,5637
HHAT,452
KIF1B,14101
FOXC1,519
TBC1D22A,2414
SYNE2,5709
PLEKHH1,1201
ATP9A,19422
SPO11,1
CBLN4,15
CHRDL2,5
FAM168A,15294
RELT,1233
GALC,4964
NOP58,1544
SZRD1,7038
KCNH2,216
CUL1,5029
FAM114A2,2412
CYFIP2,4566
TAB2,14195
GINM1,2789
EIF2AK2,8077
USP36,3134
KMT2C,7549
MCOLN3,23
CCDC85A,161
PUM2,7900
MRPL43,2411
ITIH4,14
ITIH1,17
HPF1,1087
ZFR,8972
ZNF280C,434
NPFFR2,5
PHF21B,334
TRAF1,1591
RC3H2,5192
IL17RB,1128
TRAF3IP2,1587
GYG2,1281
DCBLD2,5111
SERPINB3,0
SOAT1,8999
PKP2,110
MSH4,48
F7,38
GDI2,14051
PRDM1,662
ATG5,2312
TMCC3,1911
PITHD1,4681
MTA3,2677
USP13,1107
ATP11B,2211
LAMC2,52
CDK14,3051
SEC61A1,48591
PPP1R12A,5543
RASGRF1,180
CAMK2B,376
CROCC,1606
POLR3E,1811
ATP2B4,32600
ZC3H11A,7
RIOK2,1408
YIPF1,1834
NDC1,1618
DGKG,1624
FLYWCH1,3331
UNKL,892
TBXAS1,5714
PARP12,3056
ALDH18A1,5171
TARBP1,2647
GATB,2541
MXD1,2633
CDK17,2613
DNAJC25,519
SLC2A3,4075
PSD,269
CTDP1,1581
YBX3,6051
STYK1,14
WNK1,16530
RPS17P5,1
CCAR1,4244
OGFR,4225
GNA15,1705
CREB3L3,2
PIGV,1559
PTPRU,372
SNRNP40,1722
RIMBP2,116
COL11A1,502
QSER1,2118
MPC1,2755
ACAA1,3350
BCAT1,1393
HDAC7,3630
LZTS1,3624
PRDM6,75
WNT8A,2
SPAG4,65
NCKAP1,17043
MRPS35,2513
GUCY1B1,949
SFSWAP,3723
TNK2,4309
MON2,6632
CDH3,358
ARSF,79
GPBP1,6043
DGAT2,482
ZNF112,204
CS,5721
LTK,19
MRPS24,42
ELMO2,8228
WAPL,4604
VMP1,12340
APPBP2,4779
POLD1,756
SEZ6,101
EIF4B,9899
SLC6A16,78
BICRA,548
SPHK2,1148
RPL18,11192
CA11,937
ISOC2,1096
U2AF2,7136
EPN1,7059
MED29,4316
AHRR,4
GSC2,3
ZNF275,3121
MTMR1,2453
GPC1,18286
ADCK1,540
HAGH,2930
RNF4,5347
CASP8,1288
LIMCH1,8695
INTS13,1726
TM7SF3,5115
DLX3,123
SPA17,160
TSPAN32,80
CCN5,65
DMRT3,4
ST3GAL6,1455
ATP2C2,28
NGFR,553
CDON,501
TAF2,2008
HIPK2,13976
TNPO3,4798
BORCS8-MEF2B,2
RFXANK,1265
TMEM161A,1424
LPAR2,719
CTSA,15455
SUGP2,9822
SLC12A2,2054
SNX24,1698
EYA2,669
CNN2,2145
ABCA7,1327
SNCAIP,1143
DDX20,1210
BTBD1,6300
FAR2,984
BCAS1,6503
POU1F1,0
CHI3L2,7135
SBNO2,3283
PMS1,1253
HMG20B,3147
CALCRL,28656
TAF11,1774
ANKS1A,5663
AP3D1,10593
ZNF76,2742
SLC9A3R2,1530
NTHL1,459
UHRF1BP1,3850
GNAI3,8056
IPO5,12327
OAT,4046
WDR3,2792
PKN2,4905
WDR18,866
TRAM2,3082
NTN1,16090
GLP2R,44
MCM10,49
DGKA,1418
ERBB3,148
ROPN1,1
ANKRD44,2802
KARS1,6984
ADAT1,1618
PDIA5,657
TBC1D22B,1769
NDUFB4,3138
SPEN,7259
MYLK,25404
ZC3H15,3561
MAP2K4,2509
PACC1,1270
SNAP91,996
SLK,4666
CYB5R4,1821
COL17A1,11
GSTO2,198
SEC61A2,938
PRKCQ,199
TLE2,335
ASB1,2568
FAM107B,1614
ME1,274
TBC1D1,3349
CDK13,3502
MTHFD2,6453
SLC9A7,2193
FOXJ2,2378
YBX1,17041
PDE4A,1117
PPP2R5A,2660
CTNNA2,3578
ELAVL1,4096
TIE1,1480
DIP2B,6337
SMARCD1,2703
KDM4A,1835
NFYC,3349
ZMYND12,92
SLC9A3,101
NGEF,769
ASPM,169
CD84,9083
ELOVL1,5381
SPI1,7510
POLR1H,402
MPPED2,85
CLDN18,22
ZBTB11,1771
ATXN3,900
GOLGA5,2464
FGFR2,3798
LRRC40,1293
ISOC1,998
EML1,1562
TRMT11,773
THUMPD1,3504
MSANTD3,984
KIF26A,120
ATG2B,2188
ARFGEF1,5388
ACSM2B,1
ZFAT,649
MTFR1,999
STAG3,451
FECH,1790
MYO9A,2930
DDX3Y,0
PFKP,3738
IDI1,3793
SP100,5809
KLF6,8204
PLPP1,4208
NEO1,7076
TRAM1,13839
PHKA1,1410
TNFRSF1A,11489
CACNB1,684
EVI5,3010
STOML1,2505
PKM,90365
DHX29,2348
DNTTIP2,2831
METTL22,605
TP53BP1,3986
TRO,3368
RRP15,1334
RHOA,35928
DHX8,4243
PMS2P4,112
PRKCZ,157
ZFY,0
IARS2,6221
SYT1,495
NAV3,2331
IDH3G,3086
ROGDI,380
PDZD4,2983
ATP2B3,69
ROCK1,5322
CBFB,4125
PDK3,4899
HYAL2,3256
HDAC4,3154
RASSF1,1925
FGFR3,504
IFI35,6960
HEATR6,2044
COASY,3985
PLEKHH3,1385
MEF2A,9907
OTUD5,4781
TFE3,9359
TBC1D25,1404
ACSL4,6852
INPP5A,583
GPKOW,3238
GRIPAP1,3950
FTSJ1,1899
PRR11,645
REEP1,2444
ATP11A,12523
POLR1A,5050
LAPTM4A,28093
TTC7A,2515
IP6K2,3588
STON1-GTF2A1L,4
SRBD1,1470
KIF2A,3691
RASGRP2,577
PSME4,4966
IFT80,1041
SIRT2,5017
ERLEC1,5731
PPP2R5B,3094
PYGM,62
PAGE1,1
PITX1,8
TRPC7,33
MAST4,1865
ADGRF5,1923
SDK2,1165
ADAM7,0
NUP133,4198
NUCKS1,26417
VPS35,9938
DNAJA2,4853
BCL3,1580
KCNAB2,3733
ABCC9,853
GAL,23
CLEC2D,659
FUNDC1,1045
MAOB,1284
RORA,1018
DRD4,19
TGFBR3,1599
PLA2G10,6
HES2,4
ATP1B3,10012
NEDD4,1116
PIGB,385
MAPK6,2171
GNB5,458
RAB27A,987
HDHD5,1951
UFD1,1863
LRP6,2687
GUCY2C,9
SCT,1
PHRF1,2172
ELP1,4191
NUCB2,2063
PFN2,20277
PTPN3,137
SPTB,23
DAPP1,710
FGF10,0
SLC44A1,15379
TMEM260,979
SMG6,3120
EXOC5,5318
CLTCL1,1362
FGF22,6
FSTL3,1375
DGCR2,11399
RNF126,1063
MNT,1521
ZXDC,1802
JMJD6,1587
POLB,825
ST6GALNAC1,84
WIPI1,1683
FRMPD1,40
GBA2,4085
NDST1,15765
ASNS,57
AP3M2,2531
CNGB1,56
ST6GALNAC2,13
CHAT,269
PABPC1,32204
TESK2,255
CFAP20,1381
CSNK2A2,1884
PTPN21,1921
EIF2B3,1343
CAMK2A,122
TCOF1,2160
CDC42,14781
OSBPL3,6025
EPHA8,12
SLC12A3,11
RAD18,470
ATP2B1,5381
TRPM5,5
NCK2,5625
MAP4K4,22593
MGAT4A,10906
RPL31,14046
WDR1,25062
SNX13,5488
MS4A12,1
ARHGAP10,821
RPS6KA2,4165
ING3,1108
VASH1,6759
LMCD1,433
BUD23,3569
SEL1L,10319
TRIP13,144
ATP6AP1,17503
TCF3,3274
TRIB2,2881
DAZAP1,2787
MBD3,3298
PRLH,0
HLTF,3173
FAM50A,3725
FAM3A,2580
CPSF1,4115
MYO3B,134
CYBRD1,12989
CDH19,77
PDCD2,2072
SLC6A15,48
RDH11,4656
PRKACA,7897
ADGRL1,3845
SPP2,0
ACTN1,30311
ZFYVE26,4035
RPS6KA6,382
EPN2,2638
PTPN18,6902
LIMS2,444
ASIC4,945
SPEG,2920
LNX1,173
ALDH3A2,6839
TFRC,10315
SREBF1,5572
TRPC5,72
AFF4,9799
UBE2D1,1560
MPP5,2642
RHOBTB1,2160
SMC1A,5926
HSD17B10,2830
MARK2,3687
HMMR,127
CHFR,2786
TRHDE,5
P4HA2,2620
FCGR2B,894
NFATC3,1429
TRNT1,1277
ACADVL,16740
STK10,3932
FBXW11,6502
ACAP1,606
CRMP1,6386
EVC,453
DERL2,3389
SIDT1,151
NDE1,970
IRAG1,4297
TMEM38A,1843
AP1M1,4689
PVR,1052
XRCC1,989
SCARB1,5503
CYP2W1,7
MCM2,493
MOV10L1,125
PANX2,323
SELENOO,874
TP63,16
ALPK1,3290
LLGL2,371
PDE8A,2902
CLCN4,931
NLE1,764
SDHA,222
SMARCE1,464
FNDC8,6
GSDMB,355
KDM5A,4550
ADAM11,147
PPP2R3A,3469
FERMT2,11175
ABCB11,5
DHRS9,112
CD5L,50
PTGS2,132
IGF2BP2,156
MAP3K13,2541
ST6GAL1,21373
TBX21,74
VDAC1P1,6
FRY,2479
PICALM,21842
NSF,4011
GLI2,191
CLASP1,7934
MRPS34,1557
NOTCH3,3146
CLNS1A,4663
PPP2R2C,147
TEAD2,363
EED,1282
CDHR2,18
SNCB,82
TSG101,2829
NCBP3,2858
ATP2A3,696
CA12,4482
MGLL,19220
NTN4,85
BCS1L,1138
NUAK1,3886
DPP8,4967
SLC24A1,849
ZNF532,10858
SCARF1,1262
LMAN1,11141
HACD3,14633
IPCEF1,339
ZZEF1,6063
NOX3,1
ENO1,54211
SLC12A1,7
MYDGF,3966
ANO8,1964
TUBE1,845
ARHGEF10L,6514
TXK,99
WSCD2,89
KCNQ2,1260
TACR2,52
ACTR6,1190
TIPIN,364
SRI,9916
EIF4G3,10035
NUP37,482
SEMA3A,160
GTSE1,146
SEMA3C,16711
TTC38,1386
ACAT1,3323
GRAMD4,3239
CELSR1,1476
WNT8B,42
ZNF638,7306
SLC25A40,1389
TIMM21,1548
ADD2,6679
FGF4,0
RASAL2,4309
VPS9D1,1586
ZNF37A,1510
MARK3,5037
SLC25A3,10346
FNDC3B,4828
FOSL2,11941
CACNG5,9
CACNG4,269
FRYL,6409
TMEM131,4831
FSCN1,12385
ACTB,408080
MOCOS,52
PLD1,1803
ATP12A,4
WDR62,196
DLG1,3022
RAB7A,50514
BCAP29,25
SEC31B,1241
SART3,2634
ARHGAP15,916
TUBA3D,10
PAX2,2
EXOSC7,1225
KIFAP3,5985
MKRN2,2852
MCM6,1913
REXO2,2062
RBM7,1742
RBMS2,2961
BAZ2A,5622
PTPN23,5236
MLH1,2675
UNG,2148
FMO4,474
KLHL20,2040
RGS11,700
SLC46A1,963
PLXNA2,1149
SPAG5,254
ANKRD13A,3143
TPD52,8462
ACACB,1132
TRAF4,542
PAG1,3786
GPATCH1,830
ICAM3,52
NT5C2,1970
MCAM,5667
GPC4,2996
MBNL3,931
CAMSAP3,12
RAP1GAP,378
XAB2,2859
ARHGEF1,5754
STXBP2,1272
MAP2K7,2129
NMRK2,0
DGKD,4910
CTTNBP2,4717
ACTL6B,35
RARB,182
TOP2B,9235
TM9SF3,14645
NFKB2,1828
UBE2T,200
PPP1R12B,2100
DNAJC10,6729
GTF3C1,8563
IL4R,6073
USP33,4790
PAK3,85
CAPN6,3
DCX,254
SNRPA,1361
SPAG6,41
EXOSC5,513
DYNC1I2,8151
APBB1IP,8609
LRCH4,810
FAM76B,1139
SIRT6,822
TYR,0
POLD3,1061
ACTN2,2508
CAPZB,28554
GPR137B,4188
NAALAD2,97
JADE1,1219
SLC25A43,1411
UBE2A,5531
FGFR1,11907
FKBP6,5
SMC1B,10
FBLN1,759
ITGA8,366
CST7,247
MAP2,14156
PIAS2,2762
AMPH,1234
ARAF,3516
MCCC1,2396
LAMP3,123
FAP,223
NEBL,3872
ACER3,3420
UBE2K,5343
PIK3C3,4060
N4BP2,1196
TIGAR,910
TULP3,1611
SYNJ2,539
ADCY2,9727
PPP2R5C,6067
PMS2P1,560
RBFOX1,64
GNB1,35314
HOXA9,14
EDN1,93
MLLT10,1898
ZCWPW1,630
ADCYAP1R1,6346
FGF20,244
P2RY10,133
ITM2A,5902
NRDC,8543
VDAC3,4227
PCM1,8495
TNRC6C,2220
CBFA2T2,2525
BRINP1,514
ITCH,6164
PKD2L2,2
TP53INP2,8124
SDF4,9256
MYH7B,190
BPIFB2,143
TP73,14
TOLLIP,3636
UBE2D4,1346
CLUL1,19
RUNX1T1,283
CDH17,6
THOC1,1318
FKBP7,573
OSBPL6,1996
SLC1A3,31408
XRCC5,18063
LXN,299
SP140,411
MKNK1,4538
TNS1,13281
REXO1,1164
SAR1A,7921
CDC14A,407
RAPGEF3,653
CEACAM1,61
SENP1,821
DUSP13,12
CIC,5546
LIPE,176
FDFT1,5381
PAFAH1B3,328
OPHN1,2571
AFM,0
KIF22,674
SCGN,19
CARMIL1,2478
PGM1,3846
DDX1,5853
DNM2,11516
EPB41L2,19820
RIMS1,51
MOXD1,133
STX7,6893
RABL2B,968
KEAP1,4930
DDX43,78
PTPRH,25
DCT,191
SLC35C2,4373
CRYBG3,1560
EPHA6,12
SCTR,80
RFX3,1902
RIF1,3458
RAB21,3451
SLC4A4,6071
SMARCA2,6399
RDH8,0
SESN1,3527
MID2,909
DNAAF6,4
COL5A3,1839
SRCAP,250
PUM3,1374
CPB2,9
CHRNA3,27
KCNN2,1125
CNOT4,2632
PSEN1,5135
CPOX,839
CLDND1,5617
MOK,259
HSP90AA1,40842
RBL1,837
DLGAP4,6182
IGSF9B,935
CFHR2,1
CROCCP3,297
NDC80,216
AP4E1,791
RSBN1,1476
MAGI3,1721
CXCL2,49
AFP,3
COL4A4,215
TCF7,444
OSTM1,5900
CDH7,10
IMPG2,64
PCNP,7432
EXD2,2969
ARG2,363
MEF2C,9396
PTPRC,9882
CACNA1S,5
PKP1,4
UBA5,2785
STK17B,3471
CDC14B,3535
ZNF510,1104
LRP2,138
ZNF506,1054
JMJD4,338
DUSP12,942
AACS,1691
DELE1,5405
SLC13A1,0
CADPS2,1002
PCDHB4,228
PCDHA6,8
PCDHGA2,106
HSPB11,752
PHLPP1,5077
ATP8B1,493
IL12RB2,154
SMARCD3,1662
WDR70,1712
FYB1,11375
MPP4,33
STRADB,3107
BZW1,5355
PGR,5
C1QTNF3,3253
ME2,4840
C5orf22,1559
CCNT2,2614
FAM135A,3487
COL19A1,13
EPB41L3,8322
COBLL1,1200
DLG3,200
KCNK2,70
SERTAD4,16
TRAF5,1134
MRPL22,882
GEMIN5,2108
OPRK1,3
NFE2L1,31795
SEMA5B,117
GSK3B,5676
ITGB5,5122
ERC1,6767
XPO1,9422
LINC01587,0
RNF13,8039
TRPM3,186
PALB2,970
DOP1A,2992
LYRM2,4652
BCKDHB,1881
KAT6A,4717
TUT7,3086
ULK2,2192
GRHL2,1
TNPO1,12146
PLOD1,13086
P2RX5,31
ITGAE,804
DIS3,3401
PIBF1,1121
TDRD3,678
AC000061.1,0
NUFIP1,455
PDS5B,1867
OXCT1,3239
RRAGB,1120
EPYC,1
CYLD,8257
SLC27A5,232
ZNF324,460
ZNF671,507
ZNF416,241
ZNF586,386
ZNF446,211
ZNF264,1311
RPS5,8684
FAT1,8027
YTHDC1,4504
CHMP2B,3397
SMAP2,14893
PPIE,2807
ZMPSTE24,8264
STARD7,16726
NOA1,4138
REST,3148
HAL,9
SSH1,4935
GSTP1,7639
APLP2,75996
FAM234B,2114
SLCO1A2,203
WBP11,4983
EIF3I,9052
NKAIN1,91
COL16A1,486
TXLNA,8366
APOB,7
NCOA1,7158
AGBL5,1656
EFR3B,2965
KIF3C,5192
RAB10,13921
GCKR,28
HADHA,13812
MAPRE3,2857
CAD,4324
CD59,23354
CD82,2914
